...Ready For It?	Taylor Swift	yes	2yLa0QULdQr0qAIvVwN6B5	...Ready For It?	reputation	Taylor Swift
(Sittin' On) the Dock of the Bay	Otis Redding	yes	3zBhihYUHBmGd2bcQIobrF	(Sittin' On) the Dock of the Bay	The Dock of the Bay (Mono)	Otis Redding
@ my worst	blackbear	yes	5evRJdyXpQjdXhplXIQ0Bc	@ my worst	misery lake	blackbear
&burn	Billie Eilish	yes	7uX3gufAoBVqKVoD3dBLLD	&burn (with Vince Staples)	&burn (with Vince Staples)	Billie Eilish,Vince Staples
3 (Glee Cast Version)	Glee Cast	yes	21LJLxB3VPpL2rJYFhtXUf	3 (Glee Cast Version)	Britney 2.0	Glee Cast
3, 2, 2001	24kgoldn	no				
4th Wall	Simply Three	no				
8	Billie Eilish	yes	6X29iaaazwho3ab7GNue5r	8	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	Billie Eilish
10,000 Armies (Live)	Influence Music	no				
10,000 Reasons (Bless The Lord) (Live)	Matt Redman	no				
21 Guns	Green Day	yes	64yrDBpcdwEdNY9loyEGbX	21 Guns	21st Century Breakdown	Green Day
21 Reasons (feat. Ella Henderson)	Nathan Dawe [feat. Ella Henderson]	maybe	1RF02Cf80mTaeNXG2P2boR	21 Reasons (feat. Ella Henderson)	21 Reasons (feat. Ella Henderson)	Nathan Dawe,Ella Henderson
27 Club (Fhin Flip)	Chløë Black [feat. Fhin]	no				
96,000	Lin-Manuel Miranda	yes	0mqcxeYg1b57YjniPNTtQ6	96,000	In the Heights (Original Broadway Cast Recording)	Lin-Manuel Miranda,Christopher Jackson,Robin de Jesus,Seth Stewart,Janet Dacal,Andrea Burns
100 Bad Days	AJR	yes	4rnyUV17cSZGsz18xJNdjL	100 Bad Days	Neotheater	AJR
300 Violin Orchestra	Jorge Quintero	maybe	4lQ1v6uH1gtJqxzFp9Yb3H	300 Violin Orchestra - Fast Version	300 Violin Orchestra (Fast Version)	Ender Güney
A 1000 Times	Hamilton Leithauser & Rostam	maybe	2SiWdRwjHM3jTONnsusdWa	A 1000 Times	I Had a Dream That You Were Mine	Hamilton Leithauser,Rostam
A Beautiful Noise	Alicia Keys & Brandi Carlile	maybe	28m84EzeAOlqrJQ3GHzs8C	A Beautiful Noise	A Beautiful Noise	Alicia Keys,Brandi Carlile
