...Ready For It?	Taylor Swift	reputation	3:28
(Sittin' On) the Dock of the Bay	Otis Redding	The Very Best of Otis Redding	2:46
@ my worst	blackbear	misery lake [Explicit]	3:11
&burn	Billie Eilish	dont smile at me	2:59
3 (Glee Cast Version)	Glee Cast	Britney 2.0	3:27
3, 2, 2001	24kgoldn	El Dorado [Explicit]	2:11
4th Wall	Simply Three	Undefined	4:25
8	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	2:53
10,000 Armies (Live)	Influence Music	ages (Live)	5:43
10,000 Reasons (Bless The Lord) (Live)	Matt Redman	10,000 Reasons (Live)	5:42
21 Guns	Green Day	21st Century Breakdown [Explicit]	5:22
21 Reasons (feat. Ella Henderson)	Nathan Dawe [feat. Ella Henderson]	21 Reasons (feat. Ella Henderson)	2:35
27 Club (Fhin Flip)	Chløë Black [feat. Fhin]	27 Club (Fhin Flip)	4:20
96,000	Lin-Manuel Miranda	In the Heights (Original Broadway Cast Recording)	5:35
100 Bad Days	AJR	Neotheater [Explicit]	3:32
300 Violin Orchestra	Jorge Quintero	Hip Hop and Rnb Instrmentals	2:58
A 1000 Times	Hamilton Leithauser & Rostam	I Had a Dream That You Were Mine	4:08
A Beautiful Noise	Alicia Keys & Brandi Carlile	A Beautiful Noise	3:19
A Safe Zone	VARIOUS ARTISTS	Kipo And The Age Of Wonderbeasts (Season 3 Mixtape)	1:07
Aaron Burr, Sir	Lin-Manuel Miranda	Hamilton (Original Broadway Cast Recording) [Explicit]	2:36
abc (nicer)	GAYLE	abc (nicer) [Clean]	2:48
ABC Café / Red & Black	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	4:21
Abundantly More (feat. Seth Condrey)	North Point Worship	Abundantly More	4:01
Achilles Come Down	Gang Of Youths	Go Farther In Lightness [Explicit]	7:02
Across the Starlit Sky	Jennifer Thomas	Illumination	4:06
The Actor	alt-J	The Dream [Explicit]	4:00
The Adams Administration	Lin-Manuel Miranda	Hamilton (Original Broadway Cast Recording) [Explicit]	0:54
Adeste Fideles	Bing Crosby	White Christmas	3:10
Aerials	System Of A Down	Toxicity	3:55
African Zombie	Alex Boyé	Africanized	3:24
After the Gold Rush (2017 Remaster)	Neil Young	Decade	3:45
Aftermath	Caravan Palace	<I°_°I>	3:06
Afterword (Interlude)	TobyMac	Momentum	1:02
Age of Wonderbeasts	VARIOUS ARTISTS	Kipo And The Age Of Wonderbeasts (Season 1 Mixtape) [Clean]	0:29
The Age of Wonderbeasts	VARIOUS ARTISTS	Kipo And The Age Of Wonderbeasts (Season 3 Mixtape)	2:24
Agony	VARIOUS ARTISTS	Into the Woods (Original Motion Picture Soundtrack)	2:31
Agony	Original Broadway Cast of Into the Woods	Into the Woods (Original Broadway Cast Recording)	2:27
Agony (reprise)	Original Broadway Cast of Into the Woods	Into the Woods (Original Broadway Cast Recording)	2:16
Ain't Killed Me Yet	Eric Church	Carolina	3:22
Ain't Misbehavin' (I'm Savin' My Love for You)	Helen O'Connell	I've Got the World On a String	2:25
Airplanes (feat. Hayley Williams of Paramore)	B.o.B	B.o.B Presents: The Adventures of Bobby Ray [Explicit]	3:00
Alabama (2009 Remaster)	Neil Young	Harvest (2009 Remaster)	4:02
Alabanza	In The Heights (Original Cast Recording)	In The Heights	3:15
Alaska (Acoustic)	Amber Run	Alaska (Acoustic)	2:35
Alejandro	Lady Gaga	The Fame Monster (Deluxe Edition) [Explicit]	4:34
Alexander Hamilton	Lin-Manuel Miranda	Hamilton (Original Broadway Cast Recording) [Explicit]	3:56
Alive In You (Live) [feat. Kim Walker-Smith]	Jesus Culture	Let It Echo (Live)	5:14
All Around Me	Flyleaf	Flyleaf (Deluxe Edition)	3:19
