1	...Ready For It?	Taylor Swift	reputation	3:28
2	(Sittin' On) the Dock of the Bay	Otis Redding	The Very Best of Otis Redding	2:46
3	@ my worst	blackbear	misery lake [Explicit]	3:11
4	&burn	Billie Eilish	dont smile at me	2:59
5	3 (Glee Cast Version)	Glee Cast	Britney 2.0	3:27
6	3, 2, 2001	24kgoldn	El Dorado [Explicit]	2:11
7	4th Wall	Simply Three	Undefined	4:25
8	8	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	2:53
9	10,000 Armies (Live)	Influence Music	ages (Live)	5:43
10	10,000 Reasons (Bless The Lord) (Live)	Matt Redman	10,000 Reasons (Live)	5:42
11	21 Guns	Green Day	21st Century Breakdown [Explicit]	5:22
12	21 Reasons (feat. Ella Henderson)	Nathan Dawe [feat. Ella Henderson]	21 Reasons (feat. Ella Henderson)	2:35
13	27 Club (Fhin Flip)	Chløë Black [feat. Fhin]	27 Club (Fhin Flip)	4:20
14	96,000	Lin-Manuel Miranda	In the Heights (Original Broadway Cast Recording)	5:35
15	100 Bad Days	AJR	Neotheater [Explicit]	3:32
16	300 Violin Orchestra	Jorge Quintero	Hip Hop and Rnb Instrmentals	2:58
17	A 1000 Times	Hamilton Leithauser & Rostam	I Had a Dream That You Were Mine	4:08
18	A Beautiful Noise	Alicia Keys & Brandi Carlile	A Beautiful Noise	3:19
19	A Safe Zone	VARIOUS ARTISTS	Kipo And The Age Of Wonderbeasts (Season 3 Mixtape)	1:07
20	Aaron Burr, Sir	Lin-Manuel Miranda	Hamilton (Original Broadway Cast Recording) [Explicit]	2:36
21	abc (nicer)	GAYLE	abc (nicer) [Clean]	2:48
22	ABC Café / Red & Black	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	4:21
23	Abundantly More (feat. Seth Condrey)	North Point Worship	Abundantly More	4:01
24	Achilles Come Down	Gang Of Youths	Go Farther In Lightness [Explicit]	7:02
25	Across the Starlit Sky	Jennifer Thomas	Illumination	4:06
26	The Actor	alt-J	The Dream [Explicit]	4:00
27	The Adams Administration	Lin-Manuel Miranda	Hamilton (Original Broadway Cast Recording) [Explicit]	0:54
28	Adeste Fideles	Bing Crosby	White Christmas	3:10
29	Aerials	System Of A Down	Toxicity	3:55
30	African Zombie	Alex Boyé	Africanized	3:24
31	After the Gold Rush (2017 Remaster)	Neil Young	Decade	3:45
32	Aftermath	Caravan Palace	<I°_°I>	3:06
33	Afterword (Interlude)	TobyMac	Momentum	1:02
34	Age of Wonderbeasts	VARIOUS ARTISTS	Kipo And The Age Of Wonderbeasts (Season 1 Mixtape) [Clean]	0:29
35	The Age of Wonderbeasts	VARIOUS ARTISTS	Kipo And The Age Of Wonderbeasts (Season 3 Mixtape)	2:24
36	Agony	VARIOUS ARTISTS	Into the Woods (Original Motion Picture Soundtrack)	2:31
37	Agony	Original Broadway Cast of Into the Woods	Into the Woods (Original Broadway Cast Recording)	2:27
38	Agony (reprise)	Original Broadway Cast of Into the Woods	Into the Woods (Original Broadway Cast Recording)	2:16
39	Ain't Killed Me Yet	Eric Church	Carolina	3:22
40	Ain't Misbehavin' (I'm Savin' My Love for You)	Helen O'Connell	I've Got the World On a String	2:25
41	Airplanes (feat. Hayley Williams of Paramore)	B.o.B	B.o.B Presents: The Adventures of Bobby Ray [Explicit]	3:00
42	Alabama (2009 Remaster)	Neil Young	Harvest (2009 Remaster)	4:02
43	Alabanza	In The Heights (Original Cast Recording)	In The Heights	3:15
44	Alaska (Acoustic)	Amber Run	Alaska (Acoustic)	2:35
45	Alejandro	Lady Gaga	The Fame Monster (Deluxe Edition) [Explicit]	4:34
46	Alexander Hamilton	Lin-Manuel Miranda	Hamilton (Original Broadway Cast Recording) [Explicit]	3:56
47	Alive In You (Live) [feat. Kim Walker-Smith]	Jesus Culture	Let It Echo (Live)	5:14
48	All Around Me	Flyleaf	Flyleaf (Deluxe Edition)	3:19
49	All Around The World (La La La)	R3HAB & A Touch Of Class	All Around The World (La La La)	2:27
50	All Er Nuthin'	VARIOUS ARTISTS	Oklahoma! (2019 Broadway Cast Recording)	3:50
51	All For Us (from the HBO Original Series Euphoria)	Labrinth & Zendaya	All For Us (from the HBO Original Series Euphoria)	3:13
52	All Hallow's Eve	VARIOUS ARTISTS	Meet Me In St. Louis (Original Motion Picture Soundtrack)	4:19
53	All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)	DJ Khaled	All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)	3:50
54	All I Ever Wanted (With Queen's Reprise)	VARIOUS ARTISTS	The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)	2:51
55	All I Want for Christmas Is You	Mariah Carey	Merry Christmas	4:01
56	All I've Ever Known	Anaïs Mitchell	Hadestown (Original Broadway Cast Recording)	4:03
57	All I've Ever Known ("In spite of herself...") [Intro]	Anaïs Mitchell	Hadestown (Original Broadway Cast Recording)	0:40
58	All In My Head (Flex)	Fifth Harmony	7/27 (Deluxe) [Explicit]	3:30
59	All Is Found	VARIOUS ARTISTS	Frozen 2 (Original Motion Picture Soundtrack)	2:05
60	All My Life	Remady & Bonny Lauren	All My Life	2:43
61	All Night	VARIOUS ARTISTS	P. Advisory, part 1	4:01
62	All Of This [feat. Robert Smith]	blink-182	blink-182 [Explicit]	4:40
63	All That Glitters	Earl	Tongue Tied [Explicit]	3:17
64	All That Really Matters (Stripped Version)	Illenium & Teddy Swims	All That Really Matters (Stripped Version)	3:19
65	All To Him (Live)	Hillsong Worship	These Same Skies (Live)	7:08
66	All We Do	Oh Wonder	Oh Wonder	3:34
67	Almost (Sweet Music)	Hozier	Wasteland, Baby! [Explicit]	3:37
68	Almost There	VARIOUS ARTISTS	The Princess and the Frog (Original Motion Picture Soundtrack)	2:24
69	Almost There (From ''The Princess And The Frog'')	VARIOUS ARTISTS	Disney Princess: Fairy Tale Songs	2:24
70	Alone	Monstercat	Monstercat 027 - Cataclysm	4:33
71	Alone	Marshmello	Alone	4:33
72	Always	blink-182	blink-182 [Explicit]	4:11
73	Amber Jean	Neil Young International Harvesters	A Treasure	3:17
74	Angels We Have Heard on High	The Piano Guys	A Family Christmas	3:32
75	Angels We Have Heard On High	Tommee Profitt	The Birth Of A King	3:43
76	Angry World	Neil Young	Le Noise [+Digital Booklet]	4:12
77	Animals	Nickelback	All the Right Reasons	3:06
78	Anita	Armin van Buuren & Timmy Trumpet	Anita	3:00
79	Another In The Fire (Live)	Hillsong UNITED	People (Live)	6:33
80	Another Love (Tiësto Remix)	Tom Odell	Another Love (Tiësto Remix)	3:05
81	Another Sad Love Song	Khalid	American Teen [Explicit]	4:04
82	Anthem Part Two (Live In Chicago)	blink-182	blink-182 [Explicit]	3:44
83	Anthony	Nickel Creek	Why Should The Fire Die?	1:55
84	Any Moment	VARIOUS ARTISTS	Into the Woods (Original Motion Picture Soundtrack)	1:41
85	Any Moment / Moments in the Woods	Original Broadway Cast of Into the Woods	Into the Woods (Original Broadway Cast Recording)	4:58
86	Any Way the Wind Blows	Anaïs Mitchell	Hadestown (Original Broadway Cast Recording)	3:45
87	Anybody Have a Map?	VARIOUS ARTISTS	Dear Evan Hansen (Original Broadway Cast Recording)	2:26
88	Anyone's Ghost	The National	High Violet (Expanded Edition) [Explicit]	2:54
89	Anything Could Happen	Ellie Goulding	Halcyon Days	4:46
90	Apex Predator	Reneé Rapp & Auli'i Cravalho	Mean Girls (Music From The Motion Picture) [Explicit]	3:08
91	Applause	Lady Gaga	Applause	3:32
92	Arabian Nights	VARIOUS ARTISTS	Aladdin (Original Motion Picture Soundtrack)	1:19
93	Arabian Nights	Alan Menken, Aladdin - Cast & Disney	Aladdin Special Edition	1:19
94	Are You Ready For The Country?	Neil Young International Harvesters	A Treasure	3:38
95	Are You Ready for the Country? (2009 Remaster)	Neil Young	Harvest (2009 Remaster)	3:23
96	Aria	VARIOUS ARTISTS	Beauty and the Beast (Original Motion Picture Soundtrack)	1:02
97	As I Am [feat. Khalid]	Justin Bieber	Justice [Clean]	2:54
98	As Long As You're Mine (From "Wicked" Original Broadway Cast Recording/2003)	VARIOUS ARTISTS	Wicked	3:46
99	Ashes	Stellar	Ashes [Explicit]	2:46
100	Asthenia	blink-182	blink-182 [Explicit]	4:19
101	Astronaut In The Ocean	Masked Wolf	Astronomical [Explicit]	2:13
102	Astronaut In The Ocean	Masked Wolf	Astronaut In The Ocean [Explicit]	2:12
103	At The End Of The Day	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	4:26
104	At The End Of The Day	VARIOUS ARTISTS	Les Misérables (Original Broadway Cast Recording)	4:43
105	At the End of the Day (Live)	Claude-Michel Schönberg & Alain Boublil	Les Misérables Live! (2010 London Cast Recording)	4:58
106	At Last	Etta James	Love Songs	3:03
107	At Last	Etta James	At Last!	3:02
108	Atlas: Two	Sleeping At Last	Atlas: Two	4:20
109	Atmosphere	TobyMac	Welcome To Diverse City	4:07
110	Atmosphere (Remix) [feat. dc Talk]	TobyMac	Welcome To Diverse City	4:37
111	Attention	Charlie Puth	Attention	3:31
112	August's Rhapsody	August Rush (Motion Picture Soundtrack)	August Rush (Soundtrack)	7:37
113	Ave Maria	Winchester Cathedral Choir, Andrew Lumsden & Sarah Baldock, organist	Advent in Winchester "O Come Emmanuel"	5:14
114	Away In A Manger	Tommee Profitt	The Birth Of A King	5:39
115	Away in a Manger	The Piano Guys	A Family Christmas	3:09
116	Awesome God	Rich Mullins	Songs	3:03
117	Bach / Break	August Rush (Motion Picture Soundtrack)	August Rush (Soundtrack)	3:50
118	Back To Black	Amy Winehouse	Back To Black [Explicit]	4:00
119	Back To Life (Live)	Bethel Music	Homecoming (Live)	6:35
120	Back to the Palace (Bonus Track)	Original Broadway Cast of Into the Woods	Into the Woods (Original Broadway Cast Recording)	2:31
121	Back To You	Selena Gomez, OneRepublic & YUNGBLUD	13 Reasons Why (Season 2) [Explicit]	3:30
122	Back To You	Lost Frequencies	All Stand Together	2:37
123	BACKBONE	Droeloe & Nevve	BACKBONE [Explicit]	3:21
124	Backseat Driver [feat. Hollyn & Tru]	TobyMac	This Is Not A Test (Deluxe Edition)	3:21
125	Bad At Love	Halsey	hopeless fountain kingdom (Deluxe Plus) [Clean]	3:01
126	Bad Blood	Taylor Swift	1989	3:31
127	Bad Decisions	Ariana Grande	Dangerous Woman [Explicit]	3:46
128	bad guy	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	3:14
129	Bad Kind of Butterflies	Camila Cabello	Romance [Explicit]	2:49
130	Bad Memories [feat. Elley Duhé & FAST BOY]	Meduza & James Carter [feat. Elley Duhé & Fast Boy]	Bad Memories	2:29
131	Bad Things	Machine Gun Kelly	bloom (Deluxe) [Clean]	3:59
132	La Bamba (Album Version)	August Rush (Motion Picture Soundtrack)	August Rush (Soundtrack)	3:45
133	Bane	alt-J	The Dream [Explicit]	5:10
134	Bang Bang	Jessie J	Sweet Talker	3:19
135	Bang Bang	VARIOUS ARTISTS	Pitch Perfect 2 - Special Edition (Original Motion Picture Soundtrack)	3:19
136	Bang Bang	Ariana Grande	My Everything (Deluxe)	3:19
137	Bang!	AJR	OK ORCHESTRA [Explicit]	2:50
138	The Banjo Beat, Pt. 1	Ricky Desktop	The Banjo Beat, Pt. 1	1:12
139	A Bar Song (Tipsy)	Shaboozey	A Bar Song (Tipsy) [Explicit]	2:51
140	The Bargain	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	3:24
141	Bari Improv	August Rush (Motion Picture Soundtrack)	August Rush (Soundtrack)	1:35
142	Bastards	Kesha	Rainbow [Explicit]	3:51
143	Battle Belongs	Phil Wickham	Battle Belongs	4:47
144	Battle Scars (with Guy Sebastian)	Lupe Fiasco	Food & Liquor II: The Great American Rap Album, Pt. 1 [Explicit]	4:10
145	Be A Light [feat. Reba McEntire & Hillary Scott & Chris Tomlin & Keith Urban]	VARIOUS ARTISTS	Discover More Country	2:54
146	Be My Escape	Relient K	Mmhmm	4:00
147	Be Okay	Lauren Daigle	Lauren Daigle	3:29
148	Beautiful	Andrew Lloyd Webber	Love Never Dies	3:32
149	Beautiful	VARIOUS ARTISTS	Heathers: The Musical (World Premiere Cast Recording) [Explicit]	8:19
150	Beautiful Mistakes	Maroon 5	JORDI [Explicit]	3:47
151	Beautiful Things	Gungor	Beautiful Things	5:10
152	Beautiful Things	Benson Boone	Beautiful Things	3:00
153	Bed Head	Joey Pecoraro	Deep in a Dream of You	2:16
154	Beep [feat. will.i.am]	The Pussycat Dolls	PCD	3:49
155	Before You Go	Lewis Capaldi	Divinely Uninspired To A Hellish Extent (Extended Edition) [Explicit]	3:35
156	Beggars At The Feast	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	0:29
157	Beggin'	Chris Lake & Aluna	Beggin'	3:03
158	Behold a Pale Horse	Stoik [feat. Jah'kota, Plex & Drezus]	Behold a Pale Horse	4:22
159	Believe For It	CeCe Winans	Believe For It	3:48
160	Believe For It (Live)	CeCe Winans	Believe For It	8:22
161	Bella Ciao	Hardwell & Maddix	Bella Ciao	3:23
162	The Bells Of Notre Dame	VARIOUS ARTISTS	The Hunchback of Notre Dame (Studio Cast Recording)	7:27
163	The Bells of Notre Dame (From "The Hunchback of Notre Dame"/Soundtrack)	VARIOUS ARTISTS	Disney's Greatest Volume 2	6:25
164	Belly Dancer	Imanbek & BYOR	Belly Dancer	2:31
165	bellyache	Billie Eilish	dont smile at me	2:59
166	Beneath A Moonless Sky	Andrew Lloyd Webber	Love Never Dies	7:33
167	Benny's Dispatch	In The Heights (Original Cast Recording)	In The Heights	2:15
168	Best Friend	VARIOUS ARTISTS	NOW That's What I Call Music, Vol. 65 [Clean]	3:02
169	Best Of Luck	Nickel Creek	Why Should The Fire Die?	3:22
170	Best of Wives and Best of Women	Lin-Manuel Miranda	Hamilton (Original Broadway Cast Recording) [Explicit]	0:47
171	Better in Color	Lizzo	Cuz I Love You (Deluxe) [Explicit]	2:13
172	Between Two Lungs	Florence + The Machine	Lungs	4:09
173	Beyond Me	TobyMac	This Is Not A Test (Deluxe Edition)	3:13
174	Beyond Me (Phenomenon Remix By Soul Glow Activatur)	TobyMac	This Is Not A Test (Deluxe Edition)	3:47
175	Beyond the Sea	Bobby Darin	The Ultimate Bobby Darin	2:52
176	Big Parade	The Lumineers	The Lumineers	5:27
177	Big Time	Big & Rich	Horse of a Different Color	3:56
178	Birthday Suit	Cosmo Sheldrake	The Much Much How How and I	1:20
179	The Bishop	Les Misérables Cast	Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)	1:34
180	Black Betty	Ram Jam	The Very Best Of Ram Jam	3:57
181	Black Mambo	Glass Animals	ZABA [Explicit]	4:08
182	Black Man In A White World	Michael Kiwanuka	Love & Hate	4:19
183	Black Sheep (Brie Larson Vocal Version / Bonus Track) [feat. Brie Larson]	VARIOUS ARTISTS	Scott Pilgrim Vs. The World (Original Motion Picture Soundtrack Expanded Edition)	4:54
184	Black Wedding (feat. Rob Halford)	In This Moment	Ritual [Explicit]	4:07
185	Black Widow [feat. Rita Ora]	Iggy Azalea	The New Classic (Deluxe Version) [Clean]	3:29
186	Blackout	Lin-Manuel Miranda	In the Heights (Original Broadway Cast Recording)	3:57
187	Blah Blah Blah	VARIOUS ARTISTS	Armada 15 Years (Deluxe Edition)	3:04
188	The Blessing (Live)	Kari Jobe, Cody Carnes & Elevation Worship	The Blessing (Live)	8:34
189	Blessings	Hollow Coves	Blessings	4:10
190	Blinding	Florence + The Machine	Lungs	4:40
191	The Blood	Naomi Raine	Back to Eden Pt. II	7:59
192	The Blood Reprise	Naomi Raine	Back to Eden Pt. II	15:06
193	Blow Us All Away	Lin-Manuel Miranda	Hamilton (Original Broadway Cast Recording) [Explicit]	2:53
194	Blown Away	Hillsong UNITED	Are We There Yet?	6:06
195	blue	Christina Perri	a lighter shade of blue	3:34
196	Blue	Ed Sheeran	Autumn Variations [Explicit]	2:34
197	Blue (Flume Remix)	Eiffel 65	Blue (Flume Remix)	2:47
198	Blue Skies	Ella Fitzgerald	Pure Ella	3:44
199	Blue Skies (Maya Jane Coles Remix)	VARIOUS ARTISTS	Verve Remixed: The First Ladies	5:37
200	Blue Skies (Remastered)	Bobby Darin	Great Gentlemen Of Song / Spotlight On Bobby Darin	2:34
201	Blueberry Faygo	Lil Mosey	Certified Hitmaker [Explicit]	2:42
202	Body	Russ Millions & Tion Wayne	Body [Explicit]	3:03
203	bodyache	Purity Ring	another eternity	2:53
204	Bohemian Like You	The Dandy Warhols	Thirteen Tales From Urban Bohemia	3:32
205	Bohemian Rhapsody (Remastered 2011)	Queen	A Night At The Opera	5:54
206	Bones	Imagine Dragons	Bones	2:45
207	Bones in the Ocean	The Longest Johns	Bones in the Ocean	3:13
208	Boogie Feet	Kesha	Rainbow [Explicit]	2:53
209	BOOM	X Ambassadors	BOOM	2:43
210	BOOM [feat. Gucci Mane]	Tiësto & Sevenn [feat. Gucci Mane]	BOOM [Explicit]	3:00
211	Boom Crunch (Bonus Track)	Original Broadway Cast of Into the Woods	Into the Woods (Original Broadway Cast Recording)	2:36
212	Boots	Kesha	Rainbow [Explicit]	3:03
